,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,dbscanned
666,이브이,https://yt3.ggpht.com/ytc/AKedOLSoscEbczcJCVTqOqdCqyaHJ26vVYfYhEwQLA=s48-c-k-c0x00ffffff-no-rj,좀있으면 고몽이나 빨간도깨비 와서 리뷰할듯,좀있으면 고몽이나 빨간도깨비 와서 리뷰할듯,0,20211208,-1
722,이현,https://yt3.ggpht.com/ytc/AKedOLTNB-UXpTvkBthDJ6CQ8xCW-wl8nEpZ8xIqAg=s48-c-k-c0x00ffffff-no-rj,겁나 꿀잼인디 ㄷㄷ,겁나 꿀잼인디 ㄷㄷ,0,20211208,-1
248,면상에쇠파이프,https://yt3.ggpht.com/ytc/AKedOLQ06cM6bKzuk2outJCwb4kloBxTfNC6hSgP4qik=s48-c-k-c0x00ffffff-no-rj,아니근데 일어나자마자 냅다 뺨후려갈기는게 웃기네 ㅋㅋㅋㅋ,아니근데 일어나자마자 냅다 뺨후려갈기는게 웃기네 ㅋㅋㅋㅋ,0,20211208,-1
700,핫존,https://yt3.ggpht.com/ytc/AKedOLQ2FkEaCrEdibd19xi9SjY9JWrpEnU-PrdJ=s48-c-k-c0x00ffffff-no-rj,그것을 알려드림 만 기다리고 있습니다,그것을 알려드림 만 기다리고 있습니다,2,20211208,-1
910,노스비,https://yt3.ggpht.com/ytc/AKedOLQJv0MUB40I9TRIGY-JprvPIF3dbALITHfU0_dg=s48-c-k-c0x00ffffff-no-rj,형이제 이런것 까지 하는거야 다음에는 뭐할꺼야?!<br>설렌다💗💗,"형이제 이런것 까지 하는거야 다음에는 뭐할꺼야?!
설렌다💗💗",22,20211208,-1
278,Shake n’ Bake,https://yt3.ggpht.com/ytc/AKedOLT2xy8Si6k3wdvPhBb84HSTqd596IN45VYvyHgx=s48-c-k-c0x00ffffff-no-rj,이 영상 본 일진들이 괜한 애들 또 괴롭히지 않을지 모르겠네. 그나저나 일진배우 진용진 살짝 닮은 것 같은데 친척이라도 되나?,이 영상 본 일진들이 괜한 애들 또 괴롭히지 않을지 모르겠네. 그나저나 일진배우 진용진 살짝 닮은 것 같은데 친척이라도 되나?,2,20211208,-1
618,SJM TECH,https://yt3.ggpht.com/ytc/AKedOLT7sGKmHR4DwkN4Lz7YYbsIs49GTpYxYVn6Lytr=s48-c-k-c0x00ffffff-no-rj,첫사랑에게 고백하기!!<br><br>27년차 내년이면 28년차 모솔탈출!!,"첫사랑에게 고백하기!!

27년차 내년이면 28년차 모솔탈출!!",0,20211208,-1
272,jin,https://yt3.ggpht.com/ytc/AKedOLRUhzj-O3c5wRWyYhkqkKXfE0qFuYAxoMsvU85zYQ=s48-c-k-c0x00ffffff-no-rj,와 근데 배우들이 연기 너무 못해서 오글거려,와 근데 배우들이 연기 너무 못해서 오글거려,1,20211208,-1
269,펭귄,https://yt3.ggpht.com/ytc/AKedOLRap5h9loYRIk421nq9ncJ670LKxVfrJSkAKXcXNA=s48-c-k-c0x00ffffff-no-rj,아 THS하니까 갑상선자극호르몬이라고 밖에 생각나네 ㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅜㅠㅠㅠ,아 THS하니까 갑상선자극호르몬이라고 밖에 생각나네 ㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅜㅠㅠㅠ,0,20211208,-1
267,내 주변 담기,https://yt3.ggpht.com/cIPbZse8w3hGHlGzJ5cvQgWd7bh5tafqxqREHRTKOlrWk_X9EeI8__6v8OxEDizC-7VY5M5esg=s48-c-k-c0x00ffffff-no-rj,영어자막까지 추가한다면 구독자 5배는 개 떡상 할 듯,영어자막까지 추가한다면 구독자 5배는 개 떡상 할 듯,0,20211208,-1
