,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,dbscanned
29,날치TV,https://yt3.ggpht.com/RJFg3SmJwrMv9ALynkd34kN1KK7ekiZlXLuw3XVeXp2rxZFWq4Q13pa8OiRWakGgfQSc0c8ydX8=s48-c-k-c0x00ffffff-no-rj,"<a href=""https://youtu.be/wL8yvZDF6RA%EC%97%AC%EA%B8%B0%EC%84%9C0:24%EC%97%90%EC%84%9C"">https://youtu.be/wL8yvZDF6RA여기서0:24에서</a> 꽁기깅강꽁강꽁공꽁기깅강꽁강이나와요",https://youtu.be/wL8yvZDF6RA여기서0:24에서 꽁기깅강꽁강꽁공꽁기깅강꽁강이나와요,0,20211208,-1
32,샤벳상어,https://yt3.ggpht.com/Z7DxtPQ1QBMIRiXqi7my7t4jk_86-005FDH2flMZzjl03pVpDgbAj1q1cEMszzMo2NdiGqZ_vA=s48-c-k-c0x00ffffff-no-rj,꽁기깅깅깅공강강꽁기깅깅 푸와와와악<br>이거 맞나요,"꽁기깅깅깅공강강꽁기깅깅 푸와와와악
이거 맞나요",0,20211207,-1
35,팬텀나이트(YouTube),https://yt3.ggpht.com/JDTDtNRfGAcTKUSmvJACCK78TEjmhIC76hiqY5k3MDY5hh-Z9VORL2Qfh9xbAny7nnBKhHZLNw=s48-c-k-c0x00ffffff-no-rj,출처!!!!!!!!!!!!저작권!!!!!!!!!,출처!!!!!!!!!!!!저작권!!!!!!!!!,0,20211204,-1
41,Leave me alone,https://yt3.ggpht.com/ytc/AKedOLRUJ1YrGwz0JIXIYz4_mQaArKR5d7Zk8EQct3zR8A=s48-c-k-c0x00ffffff-no-rj,뭐지 셀레스티얼인가,뭐지 셀레스티얼인가,0,20211202,-1
56,겜충,https://yt3.ggpht.com/ytc/AKedOLRfGj1nY8lOLyVqMaTr03hsgcy4P609O6DqRmfR2Q=s48-c-k-c0x00ffffff-no-rj,느슨한 유튜브 생태계에 긴장감을 주는 영상이군요,느슨한 유튜브 생태계에 긴장감을 주는 영상이군요,0,20211124,-1
78,전플게임채널,https://yt3.ggpht.com/GMH5QI0Rtd3_Y6uYJKVdWU-iWHK-3kxSXNgXcoUMPWlvfPNWJhBiCMl2K7f-bS31Diym7UOkCA=s48-c-k-c0x00ffffff-no-rj,이분이 꽁기깅기깅공강강의 원조를 만는 분인가?,이분이 꽁기깅기깅공강강의 원조를 만는 분인가?,0,20211117,-1
82,송유진,https://yt3.ggpht.com/ytc/AKedOLRApfL7D03ySnET4N8x5Apwwr5rPe4MrZVX-w=s48-c-k-c0x00ffffff-no-rj,알고리즘이 이끄는대로,알고리즘이 이끄는대로,0,20211115,-1
