,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,dbscanned
209,에반스,https://yt3.ggpht.com/ytc/AKedOLTLGUH-xrmogeSrxkM4thvO3M4SCHoUs7Vbb40LkQ=s48-c-k-c0x00ffffff-no-rj,아니 근데 썸네일 무엇 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,아니 근데 썸네일 무엇 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,20211209,0
208,꿀꿀,https://yt3.ggpht.com/ytc/AKedOLR-lX-DG8uPGOB6k7LZu0q85Tf9V5aJ918QIw=s48-c-k-c0x00ffffff-no-rj,썸넬이 좀더 영화채널 같으면 좋겠어여,썸넬이 좀더 영화채널 같으면 좋겠어여,0,20211209,0
207,이미나,https://yt3.ggpht.com/ytc/AKedOLR1iRL22EAOx09DtV_5tRQW7VgvziPIsftr_qJEsijRgg=s48-c-k-c0x00ffffff-no-rj,너무 재밌어요!!!!!그다음도 너무 기대됩니다,너무 재밌어요!!!!!그다음도 너무 기대됩니다,1,20211209,0
203,국어사전,https://yt3.ggpht.com/ytc/AKedOLQHtipi7HkcTw_EtoWU-HWlCZXkJB278pRx2w=s48-c-k-c0x00ffffff-no-rj,뭐지 진용진님이 영화리뷰 하시넹,뭐지 진용진님이 영화리뷰 하시넹,0,20211209,0
201,박독서,https://yt3.ggpht.com/ytc/AKedOLQWSmNYJHqvxD7-gpBfXslz8lN-l83tG3OzZaigTA=s48-c-k-c0x00ffffff-no-rj,진용진은 천재다,진용진은 천재다,0,20211209,0
197,윤태민,https://yt3.ggpht.com/ytc/AKedOLSxhQfOPe6sWoF8OLmOtXjvfk0620a45MdWwGcJ=s48-c-k-c0x00ffffff-no-rj,하 진짜 진용진은 천재다...,하 진짜 진용진은 천재다...,1,20211209,0
195,jun-i ja,https://yt3.ggpht.com/ytc/AKedOLRCn9hUdWRVb-cwJldEgJnWH7UlXGgmeF1u-A8J=s48-c-k-c0x00ffffff-no-rj,"잠...꿈이라면 감각의 고통이 없어야하는데<br>그 약...엄청 무섭군요...<br>통증까지 느끼는 꿈이면 거의 지옥이나 다름없을지도...;;<br><br>하지만 만약에 주인공처럼 학폭당했더라면 저라도 흑화되어서 지옥보다 더 지옥으로 악몽으로 꾸게 만들고 또 괴롭히려고 날 1번 건드리는 순간 1인 2역(현실, 꿈)으로 현실은 태연하게 모른 척하고 귀가하면서 꿈 속에서 괴롭히지 않을 때까지의 반복되는 악몽을 선사한다! 시연으로...","잠...꿈이라면 감각의 고통이 없어야하는데
그 약...엄청 무섭군요...
통증까지 느끼는 꿈이면 거의 지옥이나 다름없을지도...;;

하지만 만약에 주인공처럼 학폭당했더라면 저라도 흑화되어서 지옥보다 더 지옥으로 악몽으로 꾸게 만들고 또 괴롭히려고 날 1번 건드리는 순간 1인 2역(현실, 꿈)으로 현실은 태연하게 모른 척하고 귀가하면서 꿈 속에서 괴롭히지 않을 때까지의 반복되는 악몽을 선사한다! 시연으로...",0,20211209,0
191,mi e,https://yt3.ggpht.com/ytc/AKedOLTwafvBUr5NLeCaBJD5EoqNYasQ-sKSV91mv4fgjQ=s48-c-k-c0x00ffffff-no-rj,썸네일 내놔,썸네일 내놔,1,20211209,0
259,두둥등장,https://yt3.ggpht.com/ytc/AKedOLRC9xgYyaTRqE4vmv6GGnDUlYd3hwiCgEKM4XHZmQ=s48-c-k-c0x00ffffff-no-rj,아니..ㅋㅋㅋㅋ 너무재밌는데?,아니..ㅋㅋㅋㅋ 너무재밌는데?,0,20211208,0
260,기오니 고사장,https://yt3.ggpht.com/v0G-iw1BqKgZ9YS0rYDINUAq4VidNZswt8ZbgpCIvMGtWkRQwfONMQfK1z4whzL6DkVb9zVF=s48-c-k-c0x00ffffff-no-rj,영화장르가 리뷰라니 ㅅ..신박하다,영화장르가 리뷰라니 ㅅ..신박하다,0,20211208,0
263,KDB,https://yt3.ggpht.com/WlaQPDKfYXGo8MtARe8sKbWZn0vZZ9iqjQ_BmtKpdJyBMx1ss_11_rA3aWo8BLiXozqKOdfc1A=s48-c-k-c0x00ffffff-no-rj,역시 천재,역시 천재,0,20211208,0
265,팩투리,https://yt3.ggpht.com/ytc/AKedOLREkXQTydoaKAfg0lKBL5pSsnRmoK5Y0yav_Q=s48-c-k-c0x00ffffff-no-rj,ㅋㅋㄱㅋㄱㄱ저 진짜로 이런적있어요 군대있을때 자각몽 꾸게되서 시러하는 선임 찾아가서 겁나 팼는데   며칠후에  실제로 그 선임이   너 왜 꿈에서 나 때렸어ㅎㅎ 이렇게 말하는데 소름돋음.   근데 꿈에서 때린땐 상대가 무표정..,ㅋㅋㄱㅋㄱㄱ저 진짜로 이런적있어요 군대있을때 자각몽 꾸게되서 시러하는 선임 찾아가서 겁나 팼는데   며칠후에  실제로 그 선임이   너 왜 꿈에서 나 때렸어ㅎㅎ 이렇게 말하는데 소름돋음.   근데 꿈에서 때린땐 상대가 무표정..,0,20211208,0
331,이크롱,https://yt3.ggpht.com/ytc/AKedOLShVpcf4HlzkdY6U9KQi7o3Oq2afWx44HnrXg=s48-c-k-c0x00ffffff-no-rj,와 대박ㄷㄷ,와 대박ㄷㄷ,0,20211208,0
328,이지섭,https://yt3.ggpht.com/ytc/AKedOLTESq-Mt45bXVRg1DdEynL1qUuXZJuifFvWWLiUYw=s48-c-k-c0x00ffffff-no-rj,진용진 채널인거 잊고 있었는데 갑자기 나오시네요..ㅋㅋㅋ,진용진 채널인거 잊고 있었는데 갑자기 나오시네요..ㅋㅋㅋ,0,20211208,0
322,rubin jang,https://yt3.ggpht.com/ytc/AKedOLRKkppsk1xX0pmlqwbGOehmvMLRaoIZjB0ZxgkbGA=s48-c-k-c0x00ffffff-no-rj,재밌다,재밌다,0,20211208,0
321,호신킹,https://yt3.ggpht.com/wmgH6SMGiP-PNxBcmo0A_VmPvGPNCY72LxJ_2LHCeZTlcQmw82rLIDbrUcyTgleGqgQGUC6RlLQ=s48-c-k-c0x00ffffff-no-rj,아이 재미있으니깐 그냥 영화제작하자,아이 재미있으니깐 그냥 영화제작하자,0,20211208,0
316,이민형,https://yt3.ggpht.com/ytc/AKedOLT-7oCB6itBpaILRIZU84oiHKxlESrS6ls5nw=s48-c-k-c0x00ffffff-no-rj,사실 이 모든 것 자체도 꿈인 거 아니냐,사실 이 모든 것 자체도 꿈인 거 아니냐,1,20211208,0
314,권무,https://yt3.ggpht.com/ytc/AKedOLSdjncuDpSP5BYeeX0aOh4P9tPJnIi7lkdYfqZj=s48-c-k-c0x00ffffff-no-rj,"1995년 인터넷도 몰랐던 시절 초등학생 4학년이었는데 그 당시에 만화책을 보고 상상력이 한창 풍부해질 때쯤 루시드드림을 터득했었는데 자주 자각몽을 꾸다 보니 호기심이 발동하더라고요<br>학창시절 때 다들 싫어하는 친구들 한둘은 있지 않았어요?<br>싫어하는 놈 꿈에 나오면 진짜 반 패죽였는데 스트레스 해소에 도움이 많이 됐습니다 ㅋㅋㅋ<br>성인이 되고부터는 한 해에 대여섯 번 꾸기도 힘들더라고요 사회에 찌들어서 그런지 ㅋㅋ<br><br><br>근데 희한한 건 자각몽이란 게 말 그대로 현실이 아니라 꿈인 것을 자각한다는 것인데, 언젠가부터 꿈인지 자각도 못 했는데 습관적으로 하늘을 날아다닌다던가 그러네요<br>자각몽을 꿨을 때 행동 패턴이 아주 습관적이었는데, 막상 지금에 와서는 꿈인지 인지도 못 했는데 어릴 적 꿈에서의 행동 패턴이 나타나네요 ㅋㅋ<br><br>물론 현실로 돌아오면 100% 현실 인지는 합니다<br>꿈과 현실의 구분은 확실하다는 거죠<br>이걸 헷갈리면 정신병원 가야 함","1995년 인터넷도 몰랐던 시절 초등학생 4학년이었는데 그 당시에 만화책을 보고 상상력이 한창 풍부해질 때쯤 루시드드림을 터득했었는데 자주 자각몽을 꾸다 보니 호기심이 발동하더라고요
학창시절 때 다들 싫어하는 친구들 한둘은 있지 않았어요?
싫어하는 놈 꿈에 나오면 진짜 반 패죽였는데 스트레스 해소에 도움이 많이 됐습니다 ㅋㅋㅋ
성인이 되고부터는 한 해에 대여섯 번 꾸기도 힘들더라고요 사회에 찌들어서 그런지 ㅋㅋ


근데 희한한 건 자각몽이란 게 말 그대로 현실이 아니라 꿈인 것을 자각한다는 것인데, 언젠가부터 꿈인지 자각도 못 했는데 습관적으로 하늘을 날아다닌다던가 그러네요
자각몽을 꿨을 때 행동 패턴이 아주 습관적이었는데, 막상 지금에 와서는 꿈인지 인지도 못 했는데 어릴 적 꿈에서의 행동 패턴이 나타나네요 ㅋㅋ

물론 현실로 돌아오면 100% 현실 인지는 합니다
꿈과 현실의 구분은 확실하다는 거죠
이걸 헷갈리면 정신병원 가야 함",0,20211208,0
603,챙블리_CHEANGVELY,https://yt3.ggpht.com/1W6904mc8mS3O3s11zgObu8zTdFoByzL7A6EtaoNnegRHGaK9PAEx3v-hfi5hav2_KR0Ytez3Q=s48-c-k-c0x00ffffff-no-rj,영화리뷰 잘못들어온줄,영화리뷰 잘못들어온줄,0,20211208,0
307,초코초코,https://yt3.ggpht.com/kYaxuCKDcPUwnRucBxWKYK30pX5MVB4qOLGGeoah4we3EhgTwg0leAoe1Xuji1-KGVqd43kabg=s48-c-k-c0x00ffffff-no-rj,와.....지렸다........,와.....지렸다........,0,20211208,0
306,근룬YOUTUBE,https://yt3.ggpht.com/f-pE_WX0C72Iro3KDXKuwjieQhW5i7ov_iRYyHYtypjOgTsE6ZVZCTqJqIEInfKGUnra0M0TFQ=s48-c-k-c0x00ffffff-no-rj,와우,와우,1,20211208,0
303,긱시크,https://yt3.ggpht.com/FLSXdVQhKBQ7GcJluFvDvokiOPQafY3ilVQYvcdv0UIRonv50vjqBgUj64k-mPIaQtR3xBJk=s48-c-k-c0x00ffffff-no-rj,와 진짜 만들어라,와 진짜 만들어라,0,20211208,0
189,라라라,https://yt3.ggpht.com/ytc/AKedOLSjtLLfP9jQS44xVWO4pK2JoF4fxRs0OA1PUw=s48-c-k-c0x00ffffff-no-rj,와...진용진씨 잠재력이 이정도일 줄은 몰랐네.....,와...진용진씨 잠재력이 이정도일 줄은 몰랐네.....,1,20211209,0
302,멩맨,https://yt3.ggpht.com/ytc/AKedOLSEsEaH1is24OsC1X6-jq74SGBH9_HN250Y6EIEpw=s48-c-k-c0x00ffffff-no-rj,개재밋너,개재밋너,0,20211208,0
299,안지민,https://yt3.ggpht.com/ytc/AKedOLS6wYWNxW4Ke0eYiNWMyPaU1Pd7IIEJIWshxw=s48-c-k-c0x00ffffff-no-rj,"와,, 진심 존경스럽습니다,,","와,, 진심 존경스럽습니다,,",0,20211208,0
296,하이요,https://yt3.ggpht.com/N7qFmb4Ex_9dJWK84eyTinyY9i_xHh37munItSlAwyQPXoZdq6TPIydJzY_RveX_goz-5av3-g=s48-c-k-c0x00ffffff-no-rj,진용진 영화까지 대박<br>괴롭힘 당하면 당연히 보복하는건 인지상정이지,"진용진 영화까지 대박
괴롭힘 당하면 당연히 보복하는건 인지상정이지",0,20211208,0
295,부유,https://yt3.ggpht.com/ytc/AKedOLT3SXvKODpx40dE08DSNNPGj6mUVvKThOFAK5IjrQ=s48-c-k-c0x00ffffff-no-rj,나도 가끔 루시드드림꾸는데 꿀때마다 너무 정식적으로 너무힘듬...내가 막 조절하고싶어도 그게 잘안되고...아직 연습이 좀 덜됨...ㅠㅠ,나도 가끔 루시드드림꾸는데 꿀때마다 너무 정식적으로 너무힘듬...내가 막 조절하고싶어도 그게 잘안되고...아직 연습이 좀 덜됨...ㅠㅠ,0,20211208,0
290,서현석,https://yt3.ggpht.com/ytc/AKedOLSg_tDgUzXvwwDFQDBF4oLd3_QeKv8nhkvbwg=s48-c-k-c0x00ffffff-no-rj,뭐야… 진짜 영화 리뷰인줄 알았네 ㄷㄷ,뭐야… 진짜 영화 리뷰인줄 알았네 ㄷㄷ,0,20211208,0
289,당긴좌,https://yt3.ggpht.com/v6qRGJb1JoOJ0YI-yDCfg9V8mWajmukM59pNOL7sUOuJYNku0_o_7cNZk2AB5HO4XumzgPSbCg=s48-c-k-c0x00ffffff-no-rj,내가 저 능력 가진다면 상대는 그 꿈을 안꾸면 좋겠다...나만 혼자 즐기게,내가 저 능력 가진다면 상대는 그 꿈을 안꾸면 좋겠다...나만 혼자 즐기게,0,20211208,0
288,Jay Son,https://yt3.ggpht.com/ytc/AKedOLQcwCbIHt7YE7h9jY9S1kfu15rPbxhH6F7m5w=s48-c-k-c0x00ffffff-no-rj,시나리오도 좋고 다좋은데 배우분들 이좀 ㅜㅜ,시나리오도 좋고 다좋은데 배우분들 이좀 ㅜㅜ,0,20211208,0
285,블러드칸,https://yt3.ggpht.com/ytc/AKedOLTZSjBMYedzpsxkf-WMM3LK05ZJ1UGwEfuPcyHlDQ=s48-c-k-c0x00ffffff-no-rj,썸네일 존나 역겹네.,썸네일 존나 역겹네.,0,20211208,0
282,미국인,https://yt3.ggpht.com/ytc/AKedOLRFqdKvzhhrGFLgGMJ3N70diiK59iN925SHz5i8uQ=s48-c-k-c0x00ffffff-no-rj,와 개재밌어,와 개재밌어,0,20211208,0
281,김혜원,https://yt3.ggpht.com/ytc/AKedOLRutZ248ZaURfcqWGtAWHtXw6o_c0ym77gDtA=s48-c-k-c0x00ffffff-no-rj,영화계의 라이트노벨인 셈인가 ㅋㅋㅋ요약본만 만들다니 아이디어 대박ㅋㅋㅋ,영화계의 라이트노벨인 셈인가 ㅋㅋㅋ요약본만 만들다니 아이디어 대박ㅋㅋㅋ,0,20211208,0
280,Dok2 Gonz0,https://yt3.ggpht.com/ytc/AKedOLTWkbx9OPYimQVGnn7zdYVE2OkEJMYZBi_pqQ=s48-c-k-c0x00ffffff-no-rj,근데 꿈에서 뭐 복수를 하든 선행을 하든 현실에선 적용도 안되고 달라지는게 없는데 의미가 있나? 현실에서 도피하려는 마음으로 게임을 잘하려고 하는거처럼 그냥 꿈으로 도피하는거 그 이상 그 이하도 아닌듯. 꿈에서 깨고나면 남는건 현타뿐,근데 꿈에서 뭐 복수를 하든 선행을 하든 현실에선 적용도 안되고 달라지는게 없는데 의미가 있나? 현실에서 도피하려는 마음으로 게임을 잘하려고 하는거처럼 그냥 꿈으로 도피하는거 그 이상 그 이하도 아닌듯. 꿈에서 깨고나면 남는건 현타뿐,0,20211208,0
300,매달천만원로스나는사람,https://yt3.ggpht.com/1h-Lp23OBp3rwqqapClHgj04xUwZQMhWYQ83a_My5AVc_iKoh-xsbfBhRbd74dqxqwzj_iyU=s48-c-k-c0x00ffffff-no-rj,아 이런식으로 만든다고 했던거구나 진짜 보기좋다 ㄹㅇ,아 이런식으로 만든다고 했던거구나 진짜 보기좋다 ㄹㅇ,0,20211208,0
332,Luin,https://yt3.ggpht.com/ytc/AKedOLQk8u27tXJ5FhPBLhfSsAk4Xoxdub4fgKgHkEAdZg=s48-c-k-c0x00ffffff-no-rj,썸네일 내용은 없네 궁금했는데,썸네일 내용은 없네 궁금했는데,0,20211208,0
185,엽상,https://yt3.ggpht.com/ytc/AKedOLTm4iqeBMp6JczNND0vAJgGKTV9KJgzRo_VviTy6M_D0_UULufwOYm7SnqcuISYhtB_GA0=s48-c-k-c0x00ffffff-no-rj,개재밌네,개재밌네,1,20211209,0
177,떼굴떼굴떼구리,https://yt3.ggpht.com/ytc/AKedOLQwzPAYYCTYZA5kXXBAlmlmjmPpguTAK-smLQ=s48-c-k-c0x00ffffff-no-rj,와우….진짜 있는 영화면 보고싶은 영화다…시나리오 잘맨들었네…ㄷㄷ,와우….진짜 있는 영화면 보고싶은 영화다…시나리오 잘맨들었네…ㄷㄷ,0,20211209,0
88,쉐프 에그머니목,https://yt3.ggpht.com/ytc/AKedOLTru8cG4UIMhJJ_RQdSqfi37keT26QKCr2sKZ2K=s48-c-k-c0x00ffffff-no-rj,와... 보고싶다..,와... 보고싶다..,0,20211209,0
86,프로즐겜러 빈센트,https://yt3.ggpht.com/ytc/AKedOLQTmke0ZLZB1UNlaHDtNZysda89KhQYszGFECcrFSw=s48-c-k-c0x00ffffff-no-rj,기획부터 스토리 실제 영상까지 완벽하네요.... 대단하십니다,기획부터 스토리 실제 영상까지 완벽하네요.... 대단하십니다,0,20211209,0
83,노래하는노트,https://yt3.ggpht.com/ytc/AKedOLTrdWzZw9qft9UZ-t55_kSTpduYYnNdnCQkd7lq=s48-c-k-c0x00ffffff-no-rj,ㅈㄴ 신박하다,ㅈㄴ 신박하다,0,20211209,0
