,authorDisplayName,authorProfileImageUrl,textDisplay,textOriginal,likeCount,publishedAt,dbscanned
115, 토즌 ToZen,https://yt3.ggpht.com/S9DDCGz2eap14kaHOE_48Kle_27SR13sbbiNDYO1x9gKIUxXDYduzEh2GK6MCW1no7L7dQzdlCM=s48-c-k-c0x00ffffff-no-rj,조회수가 200만 ㅋㅋ,조회수가 200만 ㅋㅋ,0,20211110,-1
117,YT,https://yt3.ggpht.com/KdIqj4ztswYNm5vdL5Ur4M4279tvjx0RgJO2wQUPNnfLU1yuRM_cyvvxMwmIWL8DpN3h2skOMQ=s48-c-k-c0x00ffffff-no-rj,꽈읻나 아ㅜ냐주ㅑㅜ냐ㅗㅑ우ㅑㅓ야ㅓ.....,꽈읻나 아ㅜ냐주ㅑㅜ냐ㅗㅑ우ㅑㅓ야ㅓ.....,0,20211109,-1
118,Thomas Shin,https://yt3.ggpht.com/ytc/AKedOLTf7KOpqt7UsCZ9uKnKZQagq59f5RkXpCVNSw=s48-c-k-c0x00ffffff-no-rj,중독성 넘 심해 ㅋㅋ,중독성 넘 심해 ㅋㅋ,0,20211109,-1
120,우주다크,https://yt3.ggpht.com/kWOwUHtKubFg-U6gnG9XKidlTiTiKY0JYMEz9lhreclL3ti4lq3jWGOSEE38lHLRpsqGi9OT=s48-c-k-c0x00ffffff-no-rj,알고리즘이 날 반겨주고 들어가봤더니 방귀를 뀌네? 놀랍다 저렇게 리듬타듯이 방귀를 뀌는게 놀랍다,알고리즘이 날 반겨주고 들어가봤더니 방귀를 뀌네? 놀랍다 저렇게 리듬타듯이 방귀를 뀌는게 놀랍다,0,20211109,-1
122,김민찬,https://yt3.ggpht.com/ytc/AKedOLS_nzBa9xleBaBf3bzw-qV2Upckr1RxHtt6uhS9=s48-c-k-c0x00ffffff-no-rj,이게 뭐고,이게 뭐고,0,20211109,-1
123,윤세라,https://yt3.ggpht.com/ytc/AKedOLTzle6WR7FI-Ag_hwUm7iHHEJS2ih-Y8XE5qg=s48-c-k-c0x00ffffff-no-rj,그와중에 목소리도 웃기네 ㅋㅋㅋㅋ,그와중에 목소리도 웃기네 ㅋㅋㅋㅋ,1,20211109,-1
125,예현,https://yt3.ggpht.com/ytc/AKedOLSQs0NNVD9XIt8GgWB3UN_EZZCfJdoQO1zgyg=s48-c-k-c0x00ffffff-no-rj,바름 하기 어려다ㅠ,바름 하기 어려다ㅠ,0,20211107,-1
131,스피드왜건,https://yt3.ggpht.com/_5tASyyHiNZ3YjJU9EGLHQHGu0S-s6iS9ItF9Hx80Hr2uIIOTCiejU9HYRAM7T8zYwW4Gquc=s48-c-k-c0x00ffffff-no-rj,4초영상 보려고 15초 광고본 내가 래전드ㄷ..,4초영상 보려고 15초 광고본 내가 래전드ㄷ..,1,20211106,-1
106,Hun Cho,https://yt3.ggpht.com/ytc/AKedOLTYQZ-zbeMidKOpbT--NBKfoEEWzQPkCLUkh1Ua=s48-c-k-c0x00ffffff-no-rj,이거 0.25배속 해보셈 ㅋ,이거 0.25배속 해보셈 ㅋ,0,20211111,-1
57,린가드내년엔 잘될거야,https://yt3.ggpht.com/ytc/AKedOLTugDmU3NY7E3zq4mzA7jTvkJBrS2c5nmlZpMJV=s48-c-k-c0x00ffffff-no-rj,이거 처음봣을때 문세윤 목소린줄알앗는데 아니엿노..,이거 처음봣을때 문세윤 목소린줄알앗는데 아니엿노..,1,20211124,-1
83,심준혁,https://yt3.ggpht.com/ytc/AKedOLSRBNo1X26LW1NiNh67R6QSE8r95OB5norhtdigocOIlg=s48-c-k-c0x00ffffff-no-rj,나 고정해줘,나 고정해줘,0,20211115,-1
52,Tense,https://yt3.ggpht.com/0AtF_NUwdCj-Wqv-x3l7R_4InohKusQoSeOlZkEIi9hc-b5_rcmhFAmwY2TZ4Ujxqz3GoL4h2P4=s48-c-k-c0x00ffffff-no-rj,이거볼라고 7초짜리 광고본거 킹받네ㅋㅋ,이거볼라고 7초짜리 광고본거 킹받네ㅋㅋ,1,20211126,-1
